feature,mutual_info,rf_importance,mi_normalized,rf_normalized,combined_score
BMI,0.016505594578007265,0.10141095841948751,0.5550114368508658,0.9999999901391329,0.7775057134949994
LFHF,0.02973919621665555,0.04761868187402219,0.9999999663743445,0.4695614965740242,0.7347807314741843
Age_BMI_interaction,0.02399837010641237,0.05817368488800923,0.8069609253935071,0.5736429792304121,0.6903019523119596
SC,0.021106703102890645,0.05006075830533069,0.7097267269564949,0.49364248787208326,0.6016846074142891
RSA,0.01721964118929553,0.05547109281140159,0.5790217222020911,0.5469930777594246,0.5630073999807579
SDNN,0.00828201323542399,0.04761463656259916,0.2784881237744245,0.46952160629543704,0.3740048650349308
Age,0.007397734122831734,0.04796888767828082,0.2487536589820456,0.4730148294905387,0.3608842442362922
FT,0.0,0.07004771730210299,0.0,0.6907312355891424,0.3453656177945712
LF_HF_ratio,0.005643456403978675,0.046364125362941745,0.18976492078333695,0.45719048146617025,0.3234777011247536
SDNN_SC_ratio,0.0,0.05796827905473474,0.0,0.5716174995933955,0.28580874979669774
Age_squared,0.0036482192125797397,0.043114545370778065,0.12267376237501598,0.4251468048185432,0.2739102835967796
LF_minus_HF,0.0,0.04877472245546765,0.0,0.4809610591860244,0.2404805295930122
HF_sqrt,0.0,0.04872293923625553,0.0,0.48045043173995206,0.24022521586997603
LF_plus_HF,0.0,0.04678644620617597,0.0,0.4613549312026853,0.23067746560134264
HF,0.0,0.04541826515473556,0.0,0.44786347959555756,0.22393173979777878
SDNN_sqrt,0.00024310465452193064,0.04331011699467039,0.008174553359691195,0.4270753106231609,0.21762493199142605
LF_sqrt,0.0,0.043763004561067985,0.0,0.4315411747564862,0.2157705873782431
LF,0.0,0.0405028710406997,0.0,0.3993934311691022,0.1996967155845511
LF_SDNN_ratio,0.0,0.03986495013604654,0.0,0.3931029778659795,0.19655148893298974
Sex,0.003092093550470798,0.010482700484113957,0.10397367245471775,0.1033685170135523,0.10367109473413502
TCA,0.005261539385981839,0.002340363952973359,0.17692271071241608,0.023078018060083808,0.10000036438624994
DM,0.0,0.002498346331754578,0.0,0.024635861311795126,0.012317930655897563
MARTA,0.0,0.0017219058163500944,0.0,0.016979484527184216,0.008489742263592108
