feature,mutual_info,rf_importance,mi_normalized,rf_normalized,combined_score
LF_plus_HF,0.03001112784197546,0.04285851647046274,0.9999999666790275,0.556546408300761,0.7782731874898943
Age_squared,0.02600002693465009,0.045033133744923765,0.8663461834959306,0.5847852633335565,0.7255657234147436
LFHF,0.011464513148311317,0.05993314647674591,0.3820087277848851,0.7782718618546763,0.5801402948197807
Age,0.014184635304449023,0.04441329867703307,0.4726458434515631,0.5767362917595832,0.5246910676055732
LF_minus_HF,0.006094128248952613,0.06184276113246787,0.20306228003089907,0.8030694812172832,0.5030658806240911
FT,0.0,0.0770079822179992,0.0,0.9999999870143333,0.4999999935071667
LF_HF_ratio,0.004581696456837259,0.0625406900167297,0.15266658181910867,0.8121325530586283,0.48239956743886847
BMI,0.0,0.0688423673053978,0.0,0.8939640337095228,0.4469820168547614
SC,0.004415220393872987,0.04691283342936841,0.14711943749671894,0.6091944168511012,0.3781569271739101
SDNN_sqrt,0.0,0.051989992890935,0.0,0.6751247171836503,0.33756235859182515
SDNN,0.0,0.05165477810164975,0.0,0.6707717296714816,0.3353858648357408
LF_SDNN_ratio,0.0,0.05132160949280754,0.0,0.6664453131764663,0.33322265658823313
Age_BMI_interaction,0.0,0.04955195776151867,0.0,0.6434652056948923,0.32173260284744615
LF_sqrt,0.0,0.049205056129613185,0.0,0.6389604567401839,0.31948022837009193
HF,0.004499804493513171,0.03765110126449779,0.14993786195804337,0.48892465029129,0.3194312561246667
RSA,0.0,0.04897149807091685,0.0,0.6359275496448875,0.31796377482244376
LF,0.0017981865560503518,0.04263656974850259,0.0599173248536821,0.5536642821537635,0.3067908035037228
HF_sqrt,0.0,0.04719914434556853,0.0,0.6129123549691481,0.30645617748457404
SDNN_SC_ratio,0.0,0.042965301911675705,0.0,0.5579330884441778,0.2789665442220889
DM,0.008372048666296372,0.0017817821446454677,0.2789648037026417,0.023137628985834924,0.15105121634423832
Sex,0.0,0.01106907776279918,0.0,0.14373935402858318,0.07186967701429159
MARTA,0.0,0.004310009854560582,0.0,0.05596835125988855,0.027984175629944274
TCA,0.0,0.00030739104918063386,0.0,0.003991677698018026,0.001995838849009013
