feature,mutual_info,rf_importance,mi_normalized,rf_normalized,combined_score
Age,0.02705310959248286,0.05164976510562961,0.999999963035674,0.7680510246959042,0.8840254938657891
HF_sqrt,0.020231410564256258,0.0600754375185492,0.7478404560944604,0.8933438758300821,0.8205921659622712
HF,0.020977890321632664,0.04725189458020521,0.7754335772190909,0.7026530706757037,0.7390433239473972
SC,0.014408586148006775,0.06299285251815032,0.532603675971015,0.9367269110737915,0.7346652935224032
Age_squared,0.01418718314243339,0.04578181218333568,0.5244196630895201,0.6807924041461673,0.6026060336178437
FT,0.0043135287855038396,0.06645448600206146,0.15944668435660123,0.9882026755618243,0.5738246799592127
BMI,0.006022235394204767,0.06125459149027139,0.22260787252605774,0.9108783295570897,0.5667431010415738
SDNN_SC_ratio,0.006936735466936961,0.05746246905098987,0.25641175136675204,0.8544880726158234,0.5554499119912877
LF_plus_HF,0.009716886364988575,0.045600287024414855,0.3591781555681278,0.6780930581949883,0.5186356068815581
Age_BMI_interaction,7.278844536706686e-05,0.06724782947594968,0.002690575825587032,0.9999999851296318,0.5013452804776094
RSA,0.0,0.0552960127060173,0.0,0.8222720690713318,0.4111360345356659
LF_SDNN_ratio,0.0,0.04995304235980033,0.0,0.7428201327277821,0.37141006636389107
Sex,0.01617998101917051,0.00538050232001652,0.5980820935122475,0.08001005061331737,0.3390460720627824
LF,0.0,0.045470248217828926,0.0,0.6761593332604354,0.3380796666302177
SDNN,0.0,0.04296380661149767,0.0,0.6388876236961002,0.3194438118480501
LF_sqrt,0.0,0.04262030214651172,0.0,0.6337795858225392,0.3168897929112696
LF_minus_HF,0.0,0.04160098345413532,0.0,0.6186219415511609,0.30931097077558045
LFHF,0.0,0.040422186761822305,0.0,0.601092800700519,0.3005464003502595
SDNN_sqrt,0.0,0.03975933259608461,0.0,0.5912359151914056,0.2956179575957028
LF_HF_ratio,0.0,0.039158850963555224,0.0,0.5823065322168257,0.29115326610841286
MARTA,0.0,0.023822601525439052,0.0,0.35425085622589564,0.17712542811294782
DM,0.0025665905286973434,0.0026097821350554717,0.09487228908199975,0.03880842127671058,0.06684035517935516
TCA,0.0,0.0051709232526783,0.0,0.07689353271445112,0.03844676635722556
